Name,League#,Date Joined,Birthday,Hometown,State,Preference1,Preference2,Preference3,Preference4,Preference5,Preference6,Preference7,Preference8
"Elliott, Ezekiel U.",16010319 3249,7-May-03,3/29/1962,Akron,OH,Iron,Shoe,Car,Thimble,Wheelbarrow,Top Hat,Dog,Ship
"Harrell, Garrett P.",16451224 4205,8-Nov-21,11/3/1953,Akron,OH,Ship,Car,Iron,Top Hat,Shoe,Dog,Wheelbarrow,Thimble
"Pennington, Riley M.",16151121 9303,5-Dec-04,10/18/1952,Athens,GA,Ship,Iron,Shoe,Dog,Car,Top Hat,Thimble,Wheelbarrow
"Little, Raymond A.",16290123 8077,3-Sep-05,4/18/1977,Auburn,ME,Car,Ship,Wheelbarrow,Shoe,Iron,Dog,Top Hat,Thimble
"Curtis, Ria I.",16960205 4216,1-Sep-11,10/22/1975,Aurora,IL,Car,Ship,Wheelbarrow,Thimble,Dog,Top Hat,Shoe,Iron
"Watkins, Maia I.",16561016 3049,30-Apr-11,8/29/1974,Baltimore,MD,Wheelbarrow,Shoe,Car,Thimble,Ship,Top Hat,Iron,Dog
"Bowman, Keiko J.",16260130 2470,15-Apr-13,6/21/1958,Baltimore,MD,Thimble,Car,Dog,Top Hat,Wheelbarrow,Iron,Ship,Shoe
"Casey, Seth J.",16130514 2109,7-Nov-09,10/12/1989,Biloxi,MS,Wheelbarrow,Iron,Dog,Shoe,Top Hat,Thimble,Car,Ship
"Ballard, Aileen A.",16830226 2947,16-Aug-15,9/27/1992,Biloxi,MS,Top Hat,Ship,Thimble,Wheelbarrow,Iron,Shoe,Dog,Car
"Hill, Graiden N.",16500609 5243,22-Feb-20,7/15/1984,Boston,MA,Shoe,Wheelbarrow,Thimble,Dog,Iron,Car,Ship,Top Hat
"Raymond, September L.",16310517 1742,10-Nov-07,3/2/1985,Bowling Green,KY,Ship,Wheelbarrow,Top Hat,Thimble,Car,Dog,Iron,Shoe
"Spencer, Clark T.",16670923 2018,2-Oct-13,2/25/1959,Chicago,IL,Car,Wheelbarrow,Ship,Iron,Shoe,Thimble,Dog,Top Hat
"Mccray, Keefe V.",16950425 3122,24-Dec-12,5/11/1990,Cleveland,OH,Wheelbarrow,Top Hat,Car,Ship,Thimble,Dog,Iron,Shoe
"Koch, Chava V.",16140210 6692,5-Sep-13,6/15/1977,Cleveland,OH,Car,Shoe,Iron,Wheelbarrow,Top Hat,Ship,Thimble,Dog
"Gates, Echo Z.",16470609 0083,15-Jun-18,9/19/1973,Colchester,VT,Dog,Thimble,Ship,Car,Top Hat,Iron,Shoe,Wheelbarrow
"Rivas, Travis H.",16330713 4613,13-Sep-15,2/27/1973,Colorado Springs,CO,Ship,Iron,Shoe,Thimble,Top Hat,Car,Wheelbarrow,Dog
"Valentine, Abraham S.",16441103 4954,10-Sep-16,2/28/1995,Colorado Springs,CO,Dog,Car,Ship,Thimble,Shoe,Wheelbarrow,Top Hat,Iron
"Dyer, Macy O.",16550219 5976,25-Sep-01,10/17/1955,Columbia,MO,Dog,Ship,Wheelbarrow,Car,Thimble,Top Hat,Iron,Shoe
"Boyer, Raven C.",16300104 6857,12-Jun-08,6/7/1965,Columbia,MD,Ship,Thimble,Wheelbarrow,Dog,Shoe,Top Hat,Iron,Car
"Ellison, Bevis D.",16990608 9264,26-Nov-03,11/5/2000,Columbus,OH,Iron,Top Hat,Wheelbarrow,Thimble,Dog,Car,Shoe,Ship
"Collier, Benedict E.",16820620 8400,28-Dec-11,4/22/1990,Dallas,TX,Wheelbarrow,Ship,Iron,Dog,Thimble,Top Hat,Car,Shoe
"Hudson, Dawn N.",16560916 6037,25-Jun-06,2/24/1962,Davenport,IA,Dog,Iron,Thimble,Wheelbarrow,Ship,Car,Shoe,Top Hat
"Myers, Marvin B.",16220104 6972,30-Jan-16,10/31/1972,Des Moines,IA,Wheelbarrow,Iron,Shoe,Ship,Thimble,Dog,Top Hat,Car
"Perkins, Fay X.",16140303 2079,8-Oct-14,2/3/1955,Dover,DE,Thimble,Iron,Wheelbarrow,Dog,Car,Shoe,Top Hat,Ship
"Dennis, Ronan D.",16270416 5832,27-Sep-04,3/26/1995,Duluth,MN,Shoe,Dog,Top Hat,Iron,Ship,Thimble,Wheelbarrow,Car
"Davidson, Zeph M.",16170507 3375,31-Jul-03,5/18/1991,Erie,PA,Ship,Wheelbarrow,Thimble,Car,Iron,Dog,Shoe,Top Hat
"Kirk, Harding H.",16830129 1194,30-Apr-09,9/14/1970,Fort Collins,CO,Wheelbarrow,Car,Shoe,Top Hat,Ship,Iron,Thimble,Dog
"Chan, Lydia P.",16280724 8881,21-Jun-02,9/22/1992,Frankfort,KY,Car,Ship,Thimble,Top Hat,Dog,Wheelbarrow,Shoe,Iron
"Fisher, Cade K.",16930411 2452,10-Aug-03,6/21/1988,Frederick,MD,Top Hat,Iron,Ship,Shoe,Dog,Wheelbarrow,Thimble,Car
"Christian, Yuli S.",16711109 8468,25-Oct-03,4/20/1951,Gaithersburg,MD,Car,Top Hat,Wheelbarrow,Ship,Iron,Thimble,Dog,Shoe
"Bowen, Hadassah P.",16210421 4552,27-Apr-04,8/21/1978,Grand Island,NE,Car,Shoe,Ship,Top Hat,Dog,Thimble,Iron,Wheelbarrow
"Snow, Roth F.",16150918 1390,22-Apr-07,3/19/1997,Grand Rapids,MI,Top Hat,Dog,Thimble,Iron,Car,Wheelbarrow,Ship,Shoe
"Lyons, Ivan L.",16160407 7519,1-Sep-18,1/16/1967,Grand Rapids,MI,Wheelbarrow,Ship,Iron,Top Hat,Dog,Shoe,Car,Thimble
"Beasley, McKenzie J.",16510321 7484,24-Dec-19,10/15/1967,Great Falls,MT,Thimble,Car,Top Hat,Dog,Iron,Ship,Wheelbarrow,Shoe
"Hardy, Myles R.",16440807 7529,22-Aug-19,9/24/1952,Green Bay,WI,Iron,Shoe,Dog,Thimble,Car,Wheelbarrow,Ship,Top Hat
"Lewis, Erich O.",16400210 2350,25-Jul-07,4/25/1966,Gulfport,MS,Thimble,Ship,Wheelbarrow,Iron,Shoe,Top Hat,Dog,Car
"Bowen, Gail L.",16011030 3161,10-Jan-05,7/5/1956,Harrisburg,PA,Car,Iron,Top Hat,Ship,Dog,Wheelbarrow,Thimble,Shoe
"Tillman, Quinn O.",16691119 6522,4-Feb-02,2/12/1972,Hartford,CT,Top Hat,Wheelbarrow,Dog,Car,Iron,Shoe,Ship,Thimble
"Gaines, Jared C.",16960610 3894,8-Nov-15,5/5/1997,Helena,MT,Car,Top Hat,Thimble,Iron,Dog,Wheelbarrow,Shoe,Ship
"Rivas, Gage E.",16870422 1665,19-Jul-11,8/4/1976,Houston,TX,Wheelbarrow,Car,Iron,Ship,Dog,Shoe,Thimble,Top Hat
"Rowe, Kerry I.",16810508 5743,10-Apr-07,8/24/1974,Huntsville,AL,Wheelbarrow,Ship,Top Hat,Thimble,Shoe,Dog,Car,Iron
"Albert, Sawyer Z.",16221007 5376,10-Mar-10,9/23/1987,Huntsville,AL,Ship,Iron,Car,Top Hat,Shoe,Dog,Thimble,Wheelbarrow
"Christensen, Alfonso B.",16910528 5382,15-Jul-13,3/19/1995,Huntsville,AL,Wheelbarrow,Iron,Car,Top Hat,Shoe,Thimble,Dog,Ship
"Griffin, Kathleen T.",16931217 3538,28-Sep-17,8/25/1968,Huntsville,AL,Wheelbarrow,Ship,Dog,Shoe,Iron,Car,Top Hat,Thimble
"Snow, Brody M.",16880425 7718,6-Jun-07,3/18/2000,Indianapolis,IN,Ship,Top Hat,Wheelbarrow,Shoe,Dog,Car,Iron,Thimble
"Mckee, Kevyn D.",16130313 0106,9-Aug-10,8/18/1971,Joliet,IL,Top Hat,Ship,Iron,Shoe,Wheelbarrow,Dog,Thimble,Car
"Jennings, Willa E.",16150730 2436,5-Jun-02,9/1/1992,Jonesboro,AR,Top Hat,Shoe,Car,Thimble,Iron,Ship,Wheelbarrow,Dog
"Herring, Aidan K.",16790306 8067,31-May-06,8/23/1981,Jonesboro,AR,Shoe,Dog,Thimble,Ship,Car,Iron,Wheelbarrow,Top Hat
"Koch, Ralph Z.",16121115 1392,21-May-16,6/6/1969,Jonesboro,AR,Top Hat,Ship,Shoe,Car,Wheelbarrow,Dog,Iron,Thimble
"Mckee, Deanna F.",16080314 9442,2-Feb-03,3/17/1971,Juneau,AK,Top Hat,Car,Ship,Thimble,Shoe,Iron,Dog,Wheelbarrow
