Name,League#,Date Joined,Birthday,Hometown,State,Preference1,Preference2,Preference3,Preference4,Preference5,Preference6,Preference7,Preference8
"Elliott, Ezekiel U.",1111,7-May-03,3/29/1962,Akron,OH,Iron,Shoe,Car,Thimble,Wheelbarrow,Top Hat,Dog,Ship
"Harrell, Garrett P.",1112,8-Nov-21,11/3/1953,Akron,OH,Ship,Car,Iron,Top Hat,Shoe,Dog,Wheelbarrow,Thimble
"Pennington, Riley M.",1113,5-Dec-04,10/18/1952,Athens,GA,Ship,Iron,Shoe,Dog,Car,Top Hat,Thimble,Wheelbarrow
"Little, Raymond A.",1114,3-Sep-05,4/18/1977,Auburn,ME,Car,Ship,Wheelbarrow,Shoe,Iron,Dog,Top Hat,Thimble
"Curtis, Ria I.",1115,1-Sep-11,10/22/1975,Aurora,IL,Car,Ship,Wheelbarrow,Thimble,Dog,Top Hat,Shoe,Iron
"Watkins, Maia I.",1116,30-Apr-11,8/29/1974,Baltimore,MD,Wheelbarrow,Shoe,Car,Thimble,Ship,Top Hat,Iron,Dog
"Bowman, Keiko J.",1117,15-Apr-13,6/21/1958,Baltimore,MD,Thimble,Car,Dog,Top Hat,Wheelbarrow,Iron,Ship,Shoe
"Casey, Seth J.",1118,7-Nov-09,10/12/1989,Biloxi,MS,Wheelbarrow,Iron,Dog,Shoe,Top Hat,Thimble,Car,Ship
"Ballard, Aileen A.",1119,16-Aug-15,9/27/1992,Biloxi,MS,Top Hat,Ship,Thimble,Wheelbarrow,Iron,Shoe,Dog,Car
"Hill, Graiden N.",1120,22-Feb-20,7/15/1984,Boston,MA,Shoe,Wheelbarrow,Thimble,Dog,Iron,Car,Ship,Top Hat
"Raymond, September L.",1121,10-Nov-07,3/2/1985,Bowling Green,KY,Ship,Wheelbarrow,Top Hat,Thimble,Car,Dog,Iron,Shoe
"Spencer, Clark T.",1122,2-Oct-13,2/25/1959,Chicago,IL,Car,Wheelbarrow,Ship,Iron,Shoe,Thimble,Dog,Top Hat
"Mccray, Keefe V.",1123,24-Dec-12,5/11/1990,Cleveland,OH,Wheelbarrow,Top Hat,Car,Ship,Thimble,Dog,Iron,Shoe
"Koch, Chava V.",1124,5-Sep-13,6/15/1977,Cleveland,OH,Car,Shoe,Iron,Wheelbarrow,Top Hat,Ship,Thimble,Dog
"Gates, Echo Z.",1125,15-Jun-18,9/19/1973,Colchester,VT,Dog,Thimble,Ship,Car,Top Hat,Iron,Shoe,Wheelbarrow
"Rivas, Travis H.",1126,13-Sep-15,2/27/1973,Colorado Springs,CO,Ship,Iron,Shoe,Thimble,Top Hat,Car,Wheelbarrow,Dog
"Valentine, Abraham S.",1127,10-Sep-16,2/28/1995,Colorado Springs,CO,Dog,Car,Ship,Thimble,Shoe,Wheelbarrow,Top Hat,Iron
"Dyer, Macy O.",1128,25-Sep-01,10/17/1955,Columbia,MO,Dog,Ship,Wheelbarrow,Car,Thimble,Top Hat,Iron,Shoe
"Boyer, Raven C.",1129,12-Jun-08,6/7/1965,Columbia,MD,Ship,Thimble,Wheelbarrow,Dog,Shoe,Top Hat,Iron,Car
"Ellison, Bevis D.",1130,26-Nov-03,11/5/2000,Columbus,OH,Iron,Top Hat,Wheelbarrow,Thimble,Dog,Car,Shoe,Ship
"Collier, Benedict E.",1131,28-Dec-11,4/22/1990,Dallas,TX,Wheelbarrow,Ship,Iron,Dog,Thimble,Top Hat,Car,Shoe
"Hudson, Dawn N.",1132,25-Jun-06,2/24/1962,Davenport,IA,Dog,Iron,Thimble,Wheelbarrow,Ship,Car,Shoe,Top Hat
"Myers, Marvin B.",1133,30-Jan-16,10/31/1972,Des Moines,IA,Wheelbarrow,Iron,Shoe,Ship,Thimble,Dog,Top Hat,Car
"Perkins, Fay X.",1134,8-Oct-14,2/3/1955,Dover,DE,Thimble,Iron,Wheelbarrow,Dog,Car,Shoe,Top Hat,Ship
"Dennis, Ronan D.",1135,27-Sep-04,3/26/1995,Duluth,MN,Shoe,Dog,Top Hat,Iron,Ship,Thimble,Wheelbarrow,Car
"Davidson, Zeph M.",1136,31-Jul-03,5/18/1991,Erie,PA,Ship,Wheelbarrow,Thimble,Car,Iron,Dog,Shoe,Top Hat
"Kirk, Harding H.",1137,30-Apr-09,9/14/1970,Fort Collins,CO,Wheelbarrow,Car,Shoe,Top Hat,Ship,Iron,Thimble,Dog
